customer_id,churn_prob,llm_score,human_score,delta,hallucinations
5824-TRFAC,1.0,0.9,0.916,-0.016000000000000014,[]
4146-EPUEF,1.0,0.8,0.94,-0.1399999999999999,"['пропозиції конкурентів', 'річний контракт із фіксованою знижкою']"
3127-NIVPT,1.0,0.8,1.0,-0.19999999999999996,[]
1544-URAOM,1.0,0.9,0.857,0.04300000000000004,[]
4801-WEHVX,1.0,0.8,0.853,-0.052999999999999936,"['competitors', 'long-term contract discount program']"
8046-FLGNC,1.0,0.9,0.767,0.133,[]
2591-ZFKHX,1.0,0.9,0.885,0.015000000000000013,[]
1519-NADCI,1.0,0.9,0.832,0.06800000000000006,['discount']
6645-YUQAU,1.0,0.9,0.876,0.02400000000000002,[]
3048-QRDJV,1.0,1.0,0.784,0.21599999999999997,[]
9739-LYCVU,1.0,1.0,0.783,0.21699999999999997,[]
9915-FAUNP,1.0,0.9,0.764,0.136,[]
7555-ZDCWP,1.0,0.8,0.749,0.051000000000000045,"['пропозиції конкурентів', 'річний контракт зі знижкою']"
3564-VSNJN,1.0,0.9,0.844,0.05600000000000005,[]
2236-ESKPC,1.0,0.9,0.935,-0.03500000000000003,['річний контракт зі знижкою']
9735-POLCW,1.0,0.8,0.86,-0.05999999999999994,"['inconvenience of electronic check', 'availability of specific annual contract discount programs']"
9844-PLLCR,1.0,0.9,0.798,0.10199999999999998,[]
9371-DMRBS,1.0,0.7,0.724,-0.02400000000000002,"['вразливим до пропозицій конкурентів', 'незручний спосіб оплати']"
2955-QKBZW,1.0,0.8,0.893,-0.09299999999999997,['пропозиція переходу на річний контракт зі знижкою']
3620-YPIGE,1.0,0.9,0.796,0.10399999999999998,[]
