question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_recall,context_precision,customer_id,churn_prob
Чому клієнт 5824-TRFAC може відтекти?,"Висока ймовірність відтоку зумовлена поєднанням дорогого щомісячного тарифу ($137.04) та відсутністю довгострокових зобов'язань (місячний контракт). Рекомендую запропонувати клієнту перехід на річний контракт зі знижкою, щоб підвищити лояльність та стабілізувати витрати.","['churn_prob=1.00, MonthlyCharges=137.04, tenure=40, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), високий щомісячний тариф, оплата електронним чеком, відсутність технічної підтримки, відсутність онлайн-захисту.",0.0,0.584519090489391,0.0,0.9999999999,5824-TRFAC,1.0
Чому клієнт 4146-EPUEF може відтекти?,"Висока ймовірність відтоку зумовлена поєднанням дорогого тарифу ($152.35) та відсутністю довгострокових зобов'язань (місячний контракт). Рекомендую запропонувати клієнту перехід на вигідніший річний контракт із фіксованою знижкою, щоб підвищити лояльність та стабільність співпраці.","['churn_prob=1.00, MonthlyCharges=152.35, tenure=47, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), високий щомісячний тариф, оплата електронним чеком, відсутність технічної підтримки, відсутність онлайн-захисту.",0.2857142857142857,0.610715631550367,0.5,0.9999999999,4146-EPUEF,1.0
Чому клієнт 3127-NIVPT може відтекти?,"Висока ймовірність відтоку зумовлена поєднанням дорогого тарифу ($165.55) та відсутності зобов'язань за контрактом, що дозволяє клієнту легко змінити оператора. Рекомендую запропонувати перехід на довгостроковий контракт із наданням знижки на щомісячну плату. Це допоможе утримати клієнта та забезпечити стабільність доходу.","['churn_prob=1.00, MonthlyCharges=165.55, tenure=27, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), високий щомісячний тариф, оплата електронним чеком, відсутність онлайн-захисту.",0.16666666666666666,0.7554938890742706,0.5,0.9999999999,3127-NIVPT,1.0
Чому клієнт 1544-URAOM може відтекти?,"Висока ймовірність відтоку зумовлена поєднанням дорогого тарифу ($151.75) та відсутністю довгострокових зобов'язань (місячний контракт). Рекомендую запропонувати клієнту перехід на річний контракт зі знижкою, щоб зменшити щомісячні витрати та підвищити лояльність.","['churn_prob=1.00, MonthlyCharges=151.75, tenure=18, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), високий щомісячний тариф, оплата електронним чеком, відсутність технічної підтримки, відсутність онлайн-захисту.",0.16666666666666666,0.6148394773612448,0.5,0.9999999999,1544-URAOM,1.0
Чому клієнт 4801-WEHVX може відтекти?,"Висока ймовірність відтоку зумовлена поєднанням дорогого тарифу ($122.12) та відсутності довгострокових зобов'язань (місячний контракт), що робить клієнта вразливим до пропозицій конкурентів. Рекомендую запропонувати перехід на річний контракт із наданням знижки, щоб зафіксувати лояльність та зменшити щомісячні витрати клієнта.","['churn_prob=1.00, MonthlyCharges=122.12, tenure=33, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), високий щомісячний тариф, оплата електронним чеком, відсутність онлайн-захисту.",0.25,0.7070717838129297,0.0,0.9999999999,4801-WEHVX,1.0
Чому клієнт 8046-FLGNC може відтекти?,"Висока ймовірність відтоку зумовлена поєднанням дорогого щомісячного тарифу ($148.72) та відсутністю довгострокових зобов'язань через контракт типу «місяць за місяцем». Рекомендую запропонувати клієнту перехід на вигідніший річний контракт із фіксованою знижкою, щоб підвищити лояльність та стабільність співпраці.","['churn_prob=1.00, MonthlyCharges=148.72, tenure=21, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), високий щомісячний тариф, оплата електронним чеком, відсутність онлайн-захисту.",0.16666666666666666,0.7468175613006315,0.0,0.9999999999,8046-FLGNC,1.0
Чому клієнт 2591-ZFKHX може відтекти?,"Висока ймовірність відтоку зумовлена поєднанням дорогого тарифу ($156.29) та відсутністю зобов'язань за місячним контрактом, що дозволяє клієнту легко змінити оператора. Рекомендую запропонувати перехід на довгостроковий контракт зі знижкою, щоб підвищити лояльність та зменшити щомісячні витрати клієнта.","['churn_prob=1.00, MonthlyCharges=156.29, tenure=33, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), високий щомісячний тариф, оплата електронним чеком, відсутність технічної підтримки, відсутність онлайн-захисту.",0.14285714285714285,0.624492012091545,0.0,0.0,2591-ZFKHX,1.0
Чому клієнт 1519-NADCI може відтекти?,"Висока ймовірність відтоку зумовлена відсутністю довгострокових зобов'язань (місячний контракт) та високою вартістю послуг ($125.42). Рекомендую запропонувати клієнту перехід на річний контракт зі знижкою, щоб підвищити лояльність та зменшити щомісячні витрати.","['churn_prob=1.00, MonthlyCharges=125.42, tenure=24, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), високий щомісячний тариф, оплата електронним чеком.",0.5,0.6321070722039783,1.0,0.9999999999,1519-NADCI,1.0
Чому клієнт 6645-YUQAU може відтекти?,"Висока ймовірність відтоку зумовлена відсутністю довгострокових зобов'язань через контракт «місяць до місяця» та використанням електронного чека, що спрощує процес відмови від послуг. Рекомендую запропонувати клієнту перехід на річний контракт із наданням знижки на щомісячну плату. Це підвищить лояльність та ускладнить процедуру розірвання договору.","['churn_prob=1.00, MonthlyCharges=43.84, tenure=32, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), оплата електронним чеком.",0.2857142857142857,0.6203137523823526,1.0,0.9999999999,6645-YUQAU,1.0
Чому клієнт 3048-QRDJV може відтекти?,"Висока ймовірність відтоку зумовлена поєднанням короткого терміну користування (6 місяців), дорогого тарифу ($169.64) та відсутності зобов'язань за контрактом. Рекомендую запропонувати клієнту перехід на довгостроковий контракт зі знижкою, щоб зменшити щомісячні витрати та підвищити лояльність.","['churn_prob=1.00, MonthlyCharges=169.64, tenure=6, Contract=Month-to-month, PaymentMethod=Electronic check']","Високий ризик відтоку через: короткостроковий контракт (місяць-до-місяця), невеликий стаж клієнта, високий щомісячний тариф, оплата електронним чеком, відсутність онлайн-захисту.",0.5714285714285714,0.6326220198845461,0.0,0.9999999999,3048-QRDJV,1.0
